Date;Feed Time;Come Back to Eat;Food Type;Brand;Description;Amount(g);Left Amount(g);Total Ate Amount(g);Hungry;Love;Result;Note;Weight(kg)
2024-03-29;00:40;9:20, 10:32, 16:30;Wet;nature 養生湯罐;白身鮪魚+吻仔魚;80.0;14.3;65.7;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;2:55 有咬一下(原本在我雙腳間舔毛, 我的腳稍微動一下就突然咬我), 關房門;
2024-03-29;00:40;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;15.4;11.5;3.9;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-03-29;00:40;-;Kibble;origen;鮮雞室內貓;5.2;5.2;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-03-29;10:30;19:22;Wet;ciao;鰹魚燒晚餐包 ic-244;100.0;39.7;60.3;❌ No, not interested;🔺 So So;❌ - 🔺;放飯時間在睡覺沒有興趣/18:58 自己跑過來吃;
2024-03-29;10:30;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;36.5;23.5;13.0;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-03-29;10:30;-;Kibble;紐樂芙;智利鮭魚;5.7;5.7;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-03-29;10:30;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;8.2;0.0;8.2;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-03-30;01:20;10:09;Wet;nature 養生湯罐;白身鮪魚+鮮蝦;80.0;31.8;48.2;💖 Yes, eat right away;🔺 So So;💖 - 🔺;3:00 有咬人，有起身確認濕食跟乾乾都有剩，回房關門（過幾分鐘，發現不能進去在門口喵喵叫幾聲）/6:00 在門口叫的很大聲/跑過來想吃, 還在倒罐頭就開始吃了;
2024-03-30;01:51;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;15.4;6.6;8.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-03-30;01:51;-;Kibble;紐樂芙;智利鮭魚;4.9;3.7;1.2;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-03-30;11:00;19:22, 19:37;Wet;喵樂;喵罐 吻仔魚+鮪魚燒;160.0;160.0;0.0;💖 Yes, eat right away;❌ No!!!;💖 - ❌;跑過來想吃, 還在準備手就想抓食物了/19:00 => 每次吃完後約10分鐘, 吐出剛剛吃的副食罐/懷疑罐頭有問題？19:50換掉;
2024-03-30;11:00;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;31.7;16.1;15.6;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-03-30;11:00;-;Kibble;紐樂芙;智利鮭魚;5.0;5.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-03-30;11:50;20:12;Wet;銀湯匙;貓餐包 鮪魚, 鰹魚, 雞胸肉 p-mc 202;70.0;31.6;38.4;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-03-30;14:23;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;6.8;0.0;6.8;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-03-31;00:40;8:51, 10:10, 17:49;Wet;法麗;微湯汁系列 天然黃鰭鮪佐正鰹, 鮮蝦;80.0;6.0;74.0;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;3:00有咬人, 但持續約10分鐘左右, 就自己出門了, 再回房就沒有咬人了;
2024-03-31;00:40;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;20.0;2.6;17.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-03-31;10:20;19:48, 2:36;Wet;毛力士;極地鮮味雙嫩魚;50.0;7.1;42.9;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;跑過來想吃, 還在準備中, 感覺有點不耐煩要咬我;
2024-03-31;10:20;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;32.6;14.4;18.2;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-03-31;10:20;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;9.6;0.0;9.6;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-01;01:06;9:41, 15:50;Wet;法麗;微湯汁系列 天然黃鰭鮪佐正鰹, 嫩雞;80.0;1.1;78.9;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;2:17 有咬人，約持續5-10分鐘就回房了，看攝影機沒吃東西/2:30 又咬人，起身檢查飯碗，順便隔離;
2024-04-01;01:10;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;20.3;18.8;1.5;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-01;10:40;-;Wet;想比比;鮪魚雞肉餐 (主食罐);80.0;80.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-04-01;10:50;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;49.4;25.0;24.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-01;11:34;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;10.0;0.0;10.0;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-01;14:30;-;Wet;法麗;室內貓排毛 鮪魚佐蟹肉;80.0;3.2;76.8;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-02;00:45;9:03, 13:30;Wet;法麗;微湯汁系列 天然黃鰭鮪佐正鰹;80.0;7.7;72.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;2:00 有咬人, 持續了半個小時左右, 飯碗還有乾乾＆濕食;
2024-04-02;00:45;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;20.8;5.9;14.9;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-02;09:28;19:40, 22:30;Wet;nature 養生湯罐;白身鮪魚+蟹肉;80.0;1.5;78.5;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-02;09:34;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;32.2;16.4;15.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-02;09:34;-;Kibble;origen;六種魚;5.6;5.6;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-04-03;01:10;15:05, 17:30;Wet;法麗;室內貓排毛 鮪魚佐鮭魚;80.0;28.7;51.3;❌ No, not interested;💕 Love it So Much;❌ - 💕;被地震嚇死了, 沒吃/11:00才吃;
2024-04-03;01:20;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;10.7;5.0;5.7;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-03;01:20;-;Kibble;origen;六種魚;9.7;3.7;6.0;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-03;10:10;2:25, 3:10;Wet;法麗;微湯汁系列 天然黃鰭鮪佐正鰹,鮭魚;80.0;6.0;74.0;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-03;10:10;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;25.6;15.1;10.5;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-03;10:10;-;Kibble;origen;六種魚;14.1;12.2;1.9;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-03;10:10;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;7.7;0.0;7.7;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-04;00:50;9:50, 14:39;Wet;奇境;野生鮪魚燉雞湯;55.0;2.8;52.2;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-04;00:50;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;10.0;1.8;8.2;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-04;00:50;-;Kibble;origen;六種魚;10.0;10.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-04-04;09:11;21:10, 3:10, 4:34;Wet;法麗;室內貓排毛 鮪魚佐柴魚;80.0;15.8;64.2;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-04;09:11;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;21.8;11.4;10.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-04;09:11;-;Kibble;origen;六種魚;19.8;19.8;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-04-04;15:00;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;13.0;0.0;13.0;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-04;15:45;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;8.4;0.0;8.4;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-05;15:40;2:35;Wet;法麗;室內貓排毛 鮪魚佐鮮蝦;80.0;5.4;74.6;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-05;15:40;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;7.8;0.0;7.8;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-05;22:20;7:20;Wet;ciao;鰹魚燒晚餐包 ic-244;50.0;0.0;50.0;❌ No, not interested;💕 Love it So Much;❌ - 💕;出門/放下後5分鐘才吃;
2024-04-05;22:20;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;60.3;25.0;35.3;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-05;23:20;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;13.3;0.0;13.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-06;02:10;18:10;Wet;nature 養生湯罐;優選雞肉;80.0;3.0;77.0;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-06;02:10;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;20.5;15.6;4.9;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-06;10:30;19:43, 1:37, 4:20;Wet;法麗;室內貓排毛 鮪魚佐鯛魚;80.0;4.6;75.4;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-06;10:43;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;45.8;19.5;26.3;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-07;02:10;10:40, 12:36;Wet;法麗;全營養主食罐 關節保健 鮪魚佐番茄;80.0;4.5;75.5;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-07;02:10;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;20.4;14.3;6.1;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-07;10:30;19:00, 21:27;Wet;法麗;微湯汁系列 天然黃鰭鮪佐正鰹, 鮮蝦;80.0;2.9;77.1;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-07;10:30;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;44.3;25.5;18.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-08;00:47;9:20, 16:05;Wet;金湯;愛貓湯罐 白身鮪魚&雞肉;80.0;34.5;45.5;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-04-08;00:47;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;15.2;12.7;2.5;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-08;00:47;-;Kibble;安娜美廚;阿拉斯加鱈魚;6.3;6.3;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-04-08;09:50;19:25, 21:54;Wet;法麗;泌尿道保健主食罐 鮪魚佐紅蘿蔔;80.0;9.5;70.5;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-08;09:50;1:46, 5:12;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;38.3;20.0;18.3;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-08;09:50;-;Kibble;安娜美廚;阿拉斯加鱈魚;11.7;11.7;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-04-08;09:50;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;11.7;0.0;11.7;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-08;14:45;23:10, 1:50;Wet;銀湯匙;貓餐包 鮪魚, 鰹魚, 雞胸肉 p-mc 202;35.0;15.0;20.0;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-09;00:40;15:30, 16:26;Wet;法麗;法麗 全照護主食罐 鮪魚慕斯;80.0;10.7;69.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-09;00:40;15:30,;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;15.4;15.4;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-04-09;00:40;15:30;Kibble;歐那特;多種魚;6.0;0.0;6.0;❌ No, not interested;💕 Love it So Much;❌ - 💕;(先吃吃到沒了, 吃安娜), ;
2024-04-09;10:20;19:30, 20:40, 21:55, 2:55;Wet;mon petit 貓倍麗;嚴選金罐鮮燴鰹魚大餐 (嚴選鰹魚塊);85.0;7.0;78.0;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;19:00 陪玩25分鐘/21:15陪玩約30分鐘;
2024-04-09;10:20;5:00, ;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;20.8;14.6;6.2;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-09;10:20;20:00, 21:50, 2:52, 5:03;Kibble;歐那特;多種魚;25.4;4.7;20.7;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-10;00:40;9:48, 10:36, 15:50;Wet;ciao;近海鰹魚罐93號 (干貝味);80.0;4.2;75.8;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-10;00:40;-;Kibble;安娜美廚;極鮮 泌尿保健配方 雞肉&白魚;5.0;5.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-04-10;00:40;9:48,;Kibble;歐那特;多種魚;16.1;14.2;1.9;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-10;10:20;22:57, 7:45;Wet;法麗;腸胃保健主食罐 鮪魚佐奇異果;80.0;19.8;60.2;🔺 No, not really. Ate A Little;💕 Love it So Much;🔺 - 💕;19:00 陪玩約25分鐘/22:30陪玩約20分鐘(但準備從客廳回房要睡的時候，阿吉跳上床一直叫，走回客廳拿出逗貓棒陪玩不到五分鐘就倒地，收起逗貓棒，回房，這時就沒追過來了;
2024-04-10;10:20;19:06, 3:08, 7:42;Kibble;歐那特;多種魚;45.1;22.3;22.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-10;10:20;-;Freeze-Dried;zimple;呼嚕凍乾 雞肉;9.6;5.1;4.5;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-10;12:36;23:01, 3:08;Wet;ciao;鮪魚鮮魚餐包(鮪魚+柴魚片) ci-ic354;40.0;3.3;36.7;❌ No, not interested;💕 Love it So Much;❌ - 💕;"懷疑不愛吃法麗的 鮪魚佐奇異果, 因為沒有回來吃, 中間一直對我喵喵叫/看完烏鴉才跑來吃(20:54)
吃了一半以上";
2024-04-11;00:40;-;Wet;mon petit 貓倍麗;嚴選金罐鮮嫩鮪魚銀魚(吞拿魚及白飯魚);85.0;61.0;24.0;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;"吃完第一回合, 一直對我喵喵叫, 邊叫邊看飯碗, 後來放了ciao喵餐包後, 可能不愛這個口味的貓倍麗？
早上10:00 左右施工工人有經過門口";
2024-04-11;00:40;16:10, ;Kibble;歐那特;多種魚;20.0;16.3;3.7;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-11;02:36;16:48;Wet;ciao;鰹魚燒晚餐包 ic-244;50.0;15.4;34.6;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-04-11;10:40;19:52, 21:08, 22:22, 00:09;Wet;nature 養生湯罐;白身鮪魚+鮭魚;80.0;0.5;79.5;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;21:45陪玩約30分鐘;
2024-04-11;10:40;19:51, 3:30, 8:12;Kibble;歐那特;多種魚;46.3;23.8;22.5;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-12;00:40;14:50;Wet;奇境;野生鯖魚燉雞湯;110.0;65.2;44.8;💖 Yes, eat right away;🔺 So So;💖 - 🔺;早上9:00 左右施工工人有經過門口;
2024-04-12;00:40;14:50, ;Kibble;歐那特;多種魚;20.0;17.4;2.6;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-12;10:40;00:00, 00:15, 4:10, 6:00;Wet;法麗;室內貓排毛 鮪魚佐鮭魚;120.0;11.6;108.4;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;19:00 吃完第一回合罐罐, 就自己回臉盆睡覺了, 這正常嗎？/20:10 陪玩約25分鐘/22:30 陪玩約15分鐘, 阿吉倒地在旁邊休息;
2024-04-12;10:40;19:56, 00:17, 4:10, 6:00;Kibble;歐那特;多種魚;47.4;18.7;28.7;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-13;01:10;10:57;Wet;ciao;近海鮪魚罐91號 (鰹魚+鮪魚片);80.0;23.1;56.9;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-13;01:10;10:16, ;Kibble;歐那特;多種魚;20.9;10.0;10.9;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-13;10:20;19:27, 21:10, 23:50;Wet;mon petit 貓倍麗;嚴選金罐 極品鮪魚真鯛(特選鯛魚塊);85.0;1.3;83.7;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;20:45 陪玩約15分鐘 23:21陪玩約20分鐘;
2024-04-13;10:20;19:27, 21:05;Kibble;歐那特;多種魚;40.6;13.0;27.6;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-13;15:59;-;Freeze-Dried;法麗;原肉凍乾零食 鮭魚;1.8;0.0;1.8;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;"";
2024-04-14;00:50;9:33;Wet;原燒;白身鮪魚+柴魚;80.0;17.1;62.9;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-14;00:50;9:33,;Kibble;歐那特;多種魚;20.2;16.9;3.3;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-14;08:01;-;Freeze-Dried;法麗;原肉凍乾零食 鮭魚;1.3;0.0;1.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;"";
2024-04-14;10:30;20:45, 21:53, 00:30;Wet;nature 養生湯罐;白身鮪魚+吻仔魚;78.9;1.0;77.9;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;20:30陪玩約10分鐘, 感覺玩不太起來, 沒像一開始興奮了/21:30 陪玩約10分鐘，一樣感覺玩不太起來;
2024-04-14;10:30;00:30, 1:15, 4:47, 5:36;Kibble;歐那特;多種魚;46.9;24.6;22.3;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-14;10:30;-;Freeze-Dried;法麗;原肉凍乾零食 鮪魚;1.4;0.0;1.4;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;"";
2024-04-14;12:55;-;Freeze-Dried;法麗;原肉凍乾零食 鮭魚;2.4;0.0;2.4;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;"";
2024-04-15;01:00;9:32, 11:00, 15:55;Wet;奇境;野生鮪魚燉雞湯;55.0;8.3;46.7;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-15;01:00;9:32, 15:55;Kibble;歐那特;多種魚;20.0;12.1;7.9;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-15;10:20;19:15, 22:02, 22:35, 23:45, 4:20;Wet;法麗;室內貓排毛 鮪魚佐鮭魚 - 冰過;38.0;0.7;37.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-15;10:20;19:15, 21:30, 22:36, 23:44;Wet;法麗;微湯汁系列 天然黃鰭鮪佐正鰹, 鮮蝦;80.0;8.5;71.5;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;"21:00 陪玩約20分鐘, 過程用吸管, 束線帶玩不太起來, 改用丟凍乾, 讓阿吉去追
";
2024-04-15;10:20;4:15, ;Kibble;歐那特;多種魚;43.2;31.2;12.0;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-16;00:10;8:40, 9:46, 16:40, 17:11;Wet;mon petit 貓倍麗;嚴選金罐特選汁煮鮪魚大餐(特選吞拿魚);85.0;2.0;83.0;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-16;00:10;9:47, 17:11;Kibble;歐那特;多種魚;20.0;8.7;11.3;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-16;00:10;-;Freeze-Dried;法麗;原肉凍乾零食 鮭魚;1.3;0.0;1.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;9:30 陪玩約10分鐘, 因一直叫;
2024-04-16;00:10;-;Freeze-Dried;法麗;原肉凍乾零食 鮪魚;1.5;0.0;1.5;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;"";
2024-04-16;10:40;19:55, 22:17, 23:02, 4:10, 4:40, 5:04;Wet;nature 養生湯罐;白身鮪魚+鮮蝦;81.1;0.8;80.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;19:38接著吃;
2024-04-16;10:40;19:38, 19:55, 22:16;Wet;nature 養生湯罐;白身鮪魚+鮭魚;40.3;0.3;40.0;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-04-16;10:40;4:10, 5:04,;Kibble;歐那特;多種魚;39.9;30.0;9.9;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-16;10:40;-;Freeze-Dried;法麗;原肉凍乾零食 鮪魚;4.9;0.0;4.9;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;"";
2024-04-17;00:40;-;Wet;銀湯匙;三星美食細嫩口感餐包(鮪魚+鰹魚+吻仔魚);73.6;38.6;35.0;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;可能不是很愛, 第一回只吃不到一半, 可能因為肚子餓一直叫, 先填個肚子？;
2024-04-17;00:40;-;Kibble;歐那特;多種魚;20.9;20.9;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-04-17;00:40;-;Freeze-Dried;法麗;原肉凍乾零食 鮭魚;1.8;0.0;1.8;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;"";
2024-04-17;03:13;16:00;Wet;ciao;近海罐92號 鮪魚+吻仔魚;80.0;21.5;58.5;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;吃完活動約半個小時, 目前準備入睡;
2024-04-17;08:50;21:31, 22:12, 22:56, 5:02;Wet;法麗;室內貓排毛 鮪魚佐柴魚;42.2;0.6;41.6;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-04-17;10:40;21:07, 21:32, 22:12, 22:56, 4:25, 5:06;Wet;法麗;室內貓排毛 鮪魚佐鯛魚;79.6;8.3;71.3;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-04-17;10:40;20:18, 23:38, 4:22;Kibble;歐那特;多種魚;50.9;20.2;30.7;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-18;00:50;9:50, 16:48;Wet;ciao;鰹魚燒晚餐包 ic-236 (鰹魚+干貝+鰹魚高湯);100.0;40.5;59.5;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;要把餐盤拿到中島上會吃, 下午放到中島上就開始吃起來了/下午約2:30有吐。/懷疑不太愛歐那特乾飼料，換奇境馬上吃了快一半的量/9:10 突然想玩, 有陪玩約10分鐘;
2024-04-18;00:50;-;Kibble;歐那特;多種魚;20.7;20.7;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-04-18;07:40;-;Kibble;奇境;澳洲鮭魚 + 紐西蘭 羊肺凍乾;20.9;9.8;11.1;❌ No, not interested;🔺 So So;❌ - 🔺;"";
2024-04-18;10:34;-;Wet;axia;新金罐濃厚8號 15歲 鮪魚 ;70.0;11.0;59.0;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;拿到前面聞一下, 馬上走出臉盆馬上吃, 吃了快一半以上/一樣放在中島上讓阿吉吃/吃完愛喜雅, 就在臉盆裡面睡著了;
2024-04-18;10:34;-;Kibble;歐那特;多種魚;56.9;45.9;11.0;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-04-18;10:34;-;Wet;nature 養生湯罐;白身鮪魚+吻仔魚;80.0;3.3;76.7;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
